Name,NetWorth,Country,Source,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry
Liang Wengen,14.1,China,construction equipment,64,"Changsha, China",China,Married,1,"Bachelor of Arts/Science, Central South University",TRUE,POINT (112.9335861 28.2302056)
Philippe Laffont,2.1,United States,hedge fund,53,"New York, New York",United States,Married,,"Master of Science, Massachusetts Institute of Technology",TRUE,POINT (-74.00601519999999 40.7127281)
Yao Kuizhang,1.6,China,beverages,56,"Hengshui, China",China,,,,TRUE,POINT (115.6677229 37.7364305)
Peng Yongdong,1.9,China,real estate,41,"Beijing, China",China,,,,TRUE,POINT (116.3912757 39.906217)
Jeffrey Gundlach,2.2,United States,investments,62,"Los Angeles, California",United States,Divorced,,"Bachelor of Arts/Science, Dartmouth College",TRUE,POINT (-118.242766 34.0536909)
Petro Poroshenko,1.6,Ukraine,confectionery,55,"Kiev, Ukraine",Ukraine,Married,4,"Bachelor of Arts/Science, Kiev State University",TRUE,POINT (30.5241361 50.4500336)
Eva Maria Braun-Luedicke,1.6,Germany,medical technology,34,"Melsungen, Germany",Germany,,,,FALSE,POINT (9.5437136 51.1298048)
Donald Newhouse,17.6,United States,media,91,"New York, New York",United States,Widowed,3,"Drop Out, Syracuse University",FALSE,POINT (-74.00601519999999 40.7127281)
Thomas Lee,2,United States,private equity,77,"New York, New York",United States,Married,5,"Bachelor of Arts/Science, Harvard University",TRUE,POINT (-74.00601519999999 40.7127281)
Kim Jung-woong,1.2,South Korea,cosmetics,46,"Seoul, South Korea",South Korea,Married,1,"Associate in Arts/Science, Daelim University",TRUE,POINT (126.9782914 37.5666791)
Diego Della Valle,1.2,Italy,shoes,67,"Sant'' Elpidio A Mare, Italy",Italy,Married,2,,FALSE,POINT (12.83333 42.83333)
Sergey Brin,89,United States,online services,47,"Los Altos, California",United States,Married,3,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park",TRUE,POINT (-122.116578 37.3790629)
Hubert Burda,3.5,Germany,publishing,81,"Munich, Germany",Germany,Married,2,"Bachelor of Arts/Science, Ludwig Maxmilian University",FALSE,POINT (11.5753822 48.1371079)
Vlad Tenev,1,United States,stock trading,34,"Palo Alto, California",United States,Married,1,"Bachelor of Arts/Science, Stanford University",TRUE,POINT (-122.1598465 37.4443293)
Zuo Hui,15.5,China,real estate services,50,"Beijing, China",China,,,,TRUE,POINT (116.3912757 39.906217)
Ni Zugen,1.6,China,appliances,64,"Suzhou, China",China,Married,,,TRUE,POINT (120.5810725 31.3016935)
Xia Zuoquan,3,China,automobiles,59,"Shenzhen, China",China,,,,TRUE,POINT (114.0543297 22.555454)
Gu Yuhua & family,3.1,China,furniture,71,"Hangzhou, China",China,Married,,,TRUE,POINT (120.2052342 30.2489634)
Colin Zheng Huang,55.3,China,e-commerce,41,"Shanghai, China",China,,,"Master, University of Wisconsin Madison; Bachelor of Arts/Science, Zhejiang University",TRUE,POINT (121.4692071 31.2322758)
Mao Huihua,1,Canada,pharmaceutical,59,"Tianjin, China",Canada,,,,TRUE,POINT (117.1951073 39.0856735)
Liang Feng,2.5,China,manufacturing,52,"Shanghai, China",China,Married,,,TRUE,POINT (121.4692071 31.2322758)
Friedrich Knapp,4.5,Germany,fashion retail,70,"Brunswick, Germany",Germany,Married,3,,TRUE,POINT (10.5236066 52.2646577)
Jean (Gigi) Pritzker,3.3,United States,"hotels, investments",58,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, Stanford University",FALSE,POINT (-118.242766 34.0536909)
Steve Conine,3.6,United States,online retail,48,"Boston, Massachusetts",United States,Married,3,"Bachelor of Science in Engineering, Cornell University",TRUE,POINT (-71.0582912 42.3602534)
Beda Diethelm,1.9,Switzerland,hearing aids,80,"Zurich, Switzerland",Switzerland,,,,TRUE,POINT (8.5410422 47.3744489)
Jay Chaudhry,10,United States,security software,61,"Reno, Nevada",United States,Married,3,,TRUE,POINT (-119.8126581 39.5261206)
"Herbert Allen, Jr. & family",1.5,United States,investment banking,81,"New York, New York",United States,Divorced,4,"Bachelor of Arts/Science, Williams College",FALSE,POINT (-74.00601519999999 40.7127281)
Vadim Moshkovich,2.4,Russia,"agriculture, land",54,"Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Moscow Institute of Radioengineering, Electronics and Automation",TRUE,POINT (37.6174943 55.7504461)
Zhong Peifeng,1.1,United States,semiconductor,58,"Beijing, China",United States,Married,,,TRUE,POINT (116.3912757 39.906217)
Georg Nemetschek & family,4,Germany,software,87,"Munich, Germany",Germany,Widowed,2,,TRUE,POINT (11.5753822 48.1371079)
Wang Han,1.1,China,airline,33,"Shanghai, China",China,,,,FALSE,POINT (121.4692071 31.2322758)
Min Kao & family,4.5,United States,navigation equipment,72,"Leawood, Kansas",United States,Married,2,"Bachelor of Arts/Science, National Taiwan University; Doctorate, University of Tennessee Knoxville; Master of Science, University of Tennessee Knoxville",TRUE,POINT (-94.6169012 38.966673)
Vivien Chen,1.3,Hong Kong,real estate,62,"Hong Kong, Hong Kong",Hong Kong,,3,,FALSE,POINT (114.1628131 22.2793278)
